created_at,tweet_id,query,coordinates,coordinates_type,country_code,place_full_name,retweet_count,text,in_reply_to_status_id_str,is_quote_status,tweet_favorite_count,user_description,user_fovourites_count,followers_count,friends_count,user_profile_location,time_zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu Sep 29 16:29:15 +0000 2016,7.82E+17,soylent,,,,,0,@spencerpratt what do you think about @soylent?,7.82E+17,FALSE,1,"Like GoodCo, but bad. So.. BadCo?",,136,841,"San Francisco, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu Sep 29 16:10:56 +0000 2016,7.82E+17,soylent,,,,,0,I wish the UX of opening a @Soylent 2.0 bottle were more enjoyable,,FALSE,0,Cognitive Science & shenanigans @Cal. Previously @TeslaMotors,,115,55,"San Francisco, CA",Pacific Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu Sep 29 15:24:43 +0000 2016,7.82E+17,soylent,,,,,0,@mims @SAI @facebook @google Transfusions were taking too long. Too analog. Now there's a secret Soylent version.,,FALSE,2,"Deputy Tech Editor, The New York Times. Tweets are my own, even the ones with the serial numbers filed off.",,27781,1501,San Francisco,Pacific Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu Sep 29 13:27:01 +0000 2016,7.81E+17,soylent,,,,,0,Soylent Green is people!,,FALSE,0,Every time the same bad decision.. | 25 years old | Follow me I'll follow back just ask.,,605,389,"San Francisco, CA",Pacific Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu Sep 29 06:15:53 +0000 2016,7.81E+17,soylent,,,,,0,Sent off more masters \nMade a couple more tunes\nAte four tacos drank 3 Soylent \nComplained a bit\nGot some $20 Chinese yeezy fakes\nBedtime,,FALSE,19,Producer / Current Owner of @differentfur / Mixer: Toro y Moi - K.Flay - Beat Connection - Silva - GRMLN - Wove - Morning Benders + many many more...,,1179,1102,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu Sep 29 00:04:11 +0000 2016,7.81E+17,soylent,,,,,0,@seldo cereal bars and soylent?,7.81E+17,FALSE,2,"San Francisco, CA",,982,999,San Francisco,Pacific Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Sep 28 22:08:07 +0000 2016,7.81E+17,soylent,,,,,0,honestly soylent is terrifying this is some kurt vonnegut shit,,FALSE,2,,,188,210,"San Francisco, CA",Pacific Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Sep 28 21:44:24 +0000 2016,7.81E+17,soylent,,,,,3,RT @unsuckwork: when I go to the office fridge and notice that someone took my @soylent https://t.co/LIsro0OT4K,,FALSE,0,Collin is cool. mouseketeer\u2728,,867,798,norwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Sep 28 21:29:34 +0000 2016,7.81E+17,soylent,,,,,3,RT @unsuckwork: when I go to the office fridge and notice that someone took my @soylent https://t.co/LIsro0OT4K,,FALSE,0,"An app guiding professionals towards meaningful careers, analyzing people\u2019s personalities to find them their ideal company culture. https://t.co/ILCz0cvMxa",,12782,4250,San Francisco,Central Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Sep 28 21:24:42 +0000 2016,7.81E+17,soylent,,,,,3,when I go to the office fridge and notice that someone took my @soylent https://t.co/LIsro0OT4K,,FALSE,4,"Like GoodCo, but bad. So.. BadCo?",,136,841,"San Francisco, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
